"TOA5","ARGO_CR1000X","CR1000X","58619","CR1000X.Std.07.01","CPU:Tempstring_code_ced_black.CR1X","65427","tempprofile"
"TIMESTAMP","RECORD","Batt_volt_Min","PTemp","TempData(1)","TempData(2)","TempData(3)","TempData(4)","TempData(5)","TempData(6)","TempData(7)","TempData(8)","TempData(9)","TempData(10)","TempData(11)","TempData(12)","TempData(13)","TempData(14)","tempstring"
"TS","RN","","","","","","","","","","","","","","","","",""
"","","Min","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2024-11-03 17:45:05",0,12.51,20.08,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",""
"2024-11-03 17:46:05",1,12.51,20.07,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",""
"2024-11-03 18:05:00",0,12.5,19.83,19.5,19.5,20.19,19.12,18.56,20,19.81,18.94,19.87,20.37,19.75,19.56,19.5,18.62,"19.50 19.50 20.19 19.12 18.56 20.00 19.81 18.94 19.87 20.37 19.75 19.56 19.50 18.62   "
"2024-11-03 18:06:00",1,12.5,19.82,19.5,19.5,20.19,19.06,18.5,20,19.81,18.94,19.87,20.37,19.75,19.56,19.5,18.56,"19.50 19.50 20.19 19.06 18.50 20.00 19.81 18.94 19.87 20.37 19.75 19.56 19.50 18.56   "
"2024-11-03 18:07:00",2,12.5,19.82,19.5,19.5,20.19,19.12,18.5,20,19.81,18.94,19.87,20.37,19.69,19.56,19.5,18.62,"19.50 19.50 20.19 19.12 18.50 20.00 19.81 18.94 19.87 20.37 19.69 19.56 19.50 18.62   "
"2024-11-03 18:52:00",3,12.52,18.99,18.5,19,18.56,18.69,18.06,18.62,18.37,18.56,18.56,18.94,18.75,18.5,19,18.19,"18.50 19.00 18.56 18.69 18.06 18.62 18.37 18.56 18.56 18.94 18.75 18.50 19.00 18.19   "
"2024-11-03 18:53:00",4,12.52,19,18.5,19,18.69,18.81,18.25,18.69,18.5,18.62,18.69,19.19,18.75,18.5,19,18.31,"18.50 19.00 18.69 18.81 18.25 18.69 18.50 18.62 18.69 19.19 18.75 18.50 19.00 18.31   "
"2024-11-05 14:45:00",0,12.49,19.95,23.94,20.12,20.5,23.94,20.25,20,20,20.31,20.31,19.94,20.19,20.25,20.31,20.62,"23.94 20.12 20.50 23.94 20.25 20.00 20.00 20.31 20.31 19.94 20.19 20.25 20.31 20.62   "
"2024-11-05 14:46:00",1,12.49,19.96,24.5,22.5,20.5,24.5,20.19,20,20,20.31,20.31,19.94,20.19,20.19,20.37,20.62,"24.50 22.50 20.50 24.50 20.19 20.00 20.00 20.31 20.31 19.94 20.19 20.19 20.37 20.62   "
"2024-11-05 14:47:00",2,0,20.17,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",""
"2024-11-05 14:48:00",3,0,20.51,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",""
"2024-11-05 14:49:00",4,0,20.5,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",""
"2024-11-05 14:50:00",5,0,20.42,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",""
"2024-11-05 14:51:00",6,0,20.35,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",""
"2024-11-05 14:52:00",7,0,20.28,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",""
"2024-11-05 14:53:00",8,0,20.23,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",""
"2024-11-05 14:54:00",9,0,20.19,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",""
"2024-11-05 14:55:00",10,0,20.15,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",""
"2024-11-05 14:56:00",11,0,20.11,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",""
"2024-11-05 14:57:00",12,0,20.08,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",""
"2024-11-05 14:58:00",13,0,20.06,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",""
"2024-11-05 14:59:00",14,0,20.04,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",""
"2024-11-05 15:00:00",15,0,20.02,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",""
"2024-11-05 15:01:00",16,0,20,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",""
"2024-11-05 15:02:00",17,0,19.99,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",""
"2024-11-05 15:03:00",18,0,19.97,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",""
"2024-11-05 15:04:00",19,0,19.96,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",""
"2024-11-05 15:05:00",20,0,19.94,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",""
"2024-11-05 15:06:00",21,0,19.93,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",""
"2024-11-05 15:07:00",22,0,19.92,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",""
"2024-11-05 15:08:00",23,0,19.92,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",""
"2024-11-05 15:09:00",24,0,19.91,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",""
"2024-11-05 15:10:00",25,0,19.91,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",""
"2024-11-05 15:11:00",26,0,19.91,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",""
"2024-11-05 15:12:00",27,0,19.92,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",""
"2024-11-05 15:13:00",28,0,19.92,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",""
"2024-11-05 15:14:00",29,0,19.92,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",""
"2024-11-05 15:15:00",30,0,19.92,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",""
"2024-11-05 15:16:00",31,0,19.92,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",""
"2024-11-05 15:17:00",32,0,19.93,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",""
"2024-11-05 15:18:00",33,0,19.93,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",""
"2024-11-05 15:19:00",34,0,19.93,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",""
"2024-11-05 15:20:00",35,0,19.93,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",""
"2024-11-05 15:21:00",36,0,19.93,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",""
"2024-11-05 15:22:00",37,0,19.94,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",""
"2024-11-05 15:23:00",38,0,19.94,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",""
"2024-11-05 15:24:00",39,0,19.94,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",""
"2024-11-05 15:25:00",40,0,19.95,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",""
"2024-11-05 15:26:00",41,0,19.95,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",""
"2024-11-05 15:27:00",42,0,19.96,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",""
"2024-11-05 15:28:00",43,0,19.96,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",""
"2024-11-05 15:29:00",44,0,19.96,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",""
"2024-11-05 15:30:00",45,0,19.96,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",""
"2024-11-05 15:31:00",46,0,19.95,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",""
"2024-11-05 15:32:00",47,0,19.95,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",""
"2024-11-05 15:33:00",48,0,19.94,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",""
"2024-11-05 15:34:00",49,0,19.93,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",""
"2024-11-05 15:35:00",50,0,19.92,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",""
"2024-11-05 15:36:00",51,0,19.91,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",""
"2024-11-05 15:37:00",52,0,19.91,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",""
"2024-11-05 15:38:00",53,0,19.9,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",""
"2024-11-05 15:39:00",54,0,19.9,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",""
"2024-11-05 15:40:00",55,0,19.89,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",""
"2024-11-05 15:41:00",56,0,19.89,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",""
"2024-11-05 15:42:00",57,0,19.89,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",""
"2024-11-05 15:43:00",58,0,19.88,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",""
